Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Marico,MARICO.NS,713.35,-0.13%,709.9,"15,98,740","92,711.40",55.49,18.72,759,577.85,-1.95%,-2.01%,3.48%,38.37%,94.19%,23.3,1.46%,36.03%,36.91%,11.73,719.03,688.03,48.9,78.00%,80.00%
ICICI Lombard General Insurance,ICICIGI.NS,"1,833.40",-1.58%,"1,856.00","3,94,441","92,663.20",34.12,52.5,"2,145.00","1,613.70",-3.52%,-9.22%,-12.25%,61.99%,52.48%,6.01,0.68%,15.72%,-8.50%,42.73,"1,887.57","1,862.09",38.14,78.00%,80.00%
Bajaj Housing Finance,BAJAJHFL.NS,108.72,-1.16%,109,"47,56,932","91,655.70",39.98,26.76,151.05,103.1,-4.08%,-9.29%,-23.39%,-34.11%,-34.11%,4.54,-,-,8.84%,-,112.45,117.92,34.27,70.00%,75.00%
SRF,SRF.NS,"3,047.40",0.76%,"3,006.00","2,07,693","89,653.70",63.15,38.95,"3,325.00","2,126.85",3.35%,-3.85%,30.07%,22.05%,247.54%,7.16,0.24%,11.64%,12.90%,41.45,"2,922.30","2,895.46",66.31,76.00%,80.00%
Lupin,LUPIN.NS,"1,972.40",0.67%,"1,950.10","5,30,857","89,491.90",24.33,41.06,"2,402.90","1,795.20",-3.60%,2.40%,-12.10%,187.04%,86.92%,5.23,0.61%,13.47%,21.29%,49.64,"1,954.21","2,014.08",51.79,76.00%,80.00%
SBI Cards,SBICARD.NS,920.85,-0.10%,912.95,"6,30,500","87,708.60",46.72,52.5,"1,027.25",659.8,2.31%,1.92%,24.85%,6.91%,7.53%,6.36,0.27%,19.93%,20.03%,25.33,842.34,854.09,69.23,76.00%,80.00%
Bharti Hexacom,BHARTIHEXA.NS,"1,789.90",2.17%,"1,750.00","2,32,620","87,595.00",62.26,32.08,"2,052.90","1,234.00",5.28%,1.59%,21.53%,120.08%,120.08%,15.08,0.56%,10.87%,20.12%,8.38,"1,749.19","1,614.93",59.33,60.00%,75.00%
NHPC,NHPC.NS,86.45,-0.56%,86.25,"1,52,92,737","87,331.50",28.44,29.39,92.34,71,-0.18%,-2.62%,-5.06%,128.10%,330.10%,2.19,2.21%,8.28%,6.14%,3.6,83.45,82.58,55.36,75.25%,80.00%
Dabur India,DABUR.NS,487.75,-0.40%,488.6,"19,90,140","86,857.60",48.61,51.19,579.35,433.3,-9.83%,-7.31%,-14.02%,-7.97%,-5.15%,8.01,1.64%,17.58%,20.32%,10.6,518.75,503.71,34.71,78.00%,80.00%
ICICI Prudential Life Insurance,ICICIPRULI.NS,593.6,-0.69%,597,"3,83,497","86,471.20",68.07,52.5,776.85,525.8,-1.92%,-11.73%,-19.69%,18.52%,42.85%,6.87,0.14%,7.73%,0.44%,6.03,607.28,611.2,43.95,76.00%,80.00%
Info Edge,NAUKRI.NS,"1,333.50",0.03%,"1,330.10","5,29,298","86,441.00",85.35,33.36,"1,825.78","1,157.00",-2.15%,-4.68%,-19.53%,76.57%,86.27%,2.48,0.45%,1.88%,4.80%,53.82,"1,360.84","1,440.14",44.44,75.95%,80.00%
NTPC Green Energy,NTPCGREEN.NS,98.7,-0.88%,100.07,"47,39,235","83,909.40",149.55,29.39,155.35,84.55,-4.69%,-10.28%,-18.87%,-18.87%,-18.87%,4.51,-,-,3.47%,-,102.21,106.29,40.66,70.00%,75.00%
Persistent Systems,PERSISTENT.NS,"5,329.70",-0.52%,"5,327.90","2,91,416","83,794.40",54.9,30.79,"6,788.90","4,148.95",-0.63%,-4.91%,-5.11%,203.11%,692.93%,13.19,0.65%,22.06%,28.61%,76.02,"5,250.60","5,565.67",54.57,75.19%,80.00%
Bharat Heavy Electricals,BHEL.NS,234.86,-1.99%,237.4,"63,37,675","83,444.20",282.71,45.92,275.55,176,2.26%,-8.74%,-12.61%,287.24%,729.89%,3.31,0.21%,1.15%,3.75%,0.29,228.07,227.11,50.11,72.83%,80.00%
Ashok Leyland,ASHOKLEY.NS,137.42,-0.09%,137.49,"65,53,457","80,789.40",25.25,31.54,144.5,95.93,2.60%,8.65%,20.16%,86.84%,271.91%,6.6,2.28%,22.82%,15.46%,8.52,132.27,117.38,50.57,76.00%,80.00%
PB FinTech,POLICYBZR.NS,"1,719.30",-1.50%,"1,745.40","6,93,043","80,158.80",209.05,36.46,"2,246.90","1,311.35",-4.85%,-6.11%,4.03%,279.87%,43.00%,12.27,-,-8.90%,6.22%,2.28,"1,796.25","1,740.14",43.34,70.00%,75.00%
Oracle Financial Services Software,OFSS.NS,"9,197.00",-0.17%,"9,190.00","2,15,451","80,071.60",33.25,30.79,"13,220.00","7,038.00",2.52%,5.31%,-21.60%,213.90%,200.72%,9.56,2.88%,28.24%,36.86%,269.28,"8,735.50","8,935.63",57.51,75.09%,80.00%
Fortis Healthcare,FORTIS.NS,"1,095.15",3.29%,"1,062.00","46,83,912","80,048.20",89.51,46.73,"1,072.55",572,12.02%,39.99%,83.23%,301.37%,702.60%,9.28,0.09%,7.54%,9.86%,8.5,951.89,757.76,74.75,75.00%,80.00%
One 97 Communications,PAYTM.NS,"1,249.40",1.01%,"1,235.00","34,91,141","78,996.30",-,33.36,"1,296.60",651.5,1.74%,28.18%,74.10%,82.10%,-19.95%,5.31,-,-13.67%,-4.12%,-,"1,189.10",942.72,60.82,68.53%,70.00%
Hitachi Energy,POWERINDIA.NS,"17,786.00",0.80%,"17,600.00","63,312","78,647.90",156.88,45.92,"21,800.00","8,801.00",-11.86%,-3.86%,11.71%,423.65%,1817.52%,18.81,0.03%,12.04%,13.08%,40.53,"19,417.52","16,059.83",37.02,50.00%,79.79%
Indian Overseas Bank,IOB.NS,39.8,-1.07%,40.22,"44,63,916","77,469.30",19.5,10.25,59.94,33.5,-0.45%,3.08%,-26.42%,132.07%,330.27%,2.65,-,9.67%,5.53%,1.49,38.54,41.47,54.19,64.04%,80.00%
Aditya Birla Capital,ABCAPITAL.NS,299.05,1.94%,292,"55,72,609","76,635.80",23,52.5,307.8,149.01,2.87%,10.15%,33.46%,171.37%,382.73%,2.58,-,12.01%,9.58%,13.24,284.64,224.02,57.11,76.00%,80.00%
Nykaa,NYKAA.NS,261.48,-1.40%,264,"34,40,498","75,857.00",-,31.89,268.25,154.9,8.51%,18.84%,35.90%,29.15%,-28.88%,57.46,-,1.78%,12.91%,0.14,233.03,197.05,66.36,75.00%,75.00%
Yes Bank,YESBANK.NS,24.03,0.13%,24.2,"25,19,79,906","75,290.10",27.62,16.18,24.3,16.02,14.37%,20.21%,14.16%,52.09%,85.56%,1.58,-,3.05%,5.95%,0.46,20.33,19.29,83.16,70.00%,75.00%
Suzlon Energy,SUZLON.NS,54.35,0.07%,54.29,"4,44,87,704","74,451.00",35.29,45.92,75.65,46.15,-6.41%,-16.95%,-26.56%,699.26%,1974.43%,12.13,-,262.69%,24.15%,0.68,58.42,59.07,38.21,50.00%,75.00%
Rail Vikas Nigam,RVNL.NS,339.15,-0.83%,338.75,"28,91,506","71,307.70",59.28,29.97,514.65,301.6,-2.33%,-11.29%,-27.92%,821.60%,1718.50%,7.39,0.51%,19.39%,14.76%,6.98,338.47,372.14,45.26,67.60%,80.00%
Lloyds Metals & Energy,LLOYDSME.NS,"1,317.30",-2.00%,"1,340.10","2,25,041","70,765.20",45.26,24.93,"1,612.00",907.95,-0.39%,-10.89%,31.82%,133.85%,133.85%,12.23,0.08%,44.22%,26.34%,26.73,"1,341.84","1,328.99",50.45,50.00%,65.00%
