Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Gillette,GILLETTE.NS,"9,490.00",-0.52%,"9,547.00","12,123","31,086.30",54.87,52.2,"11,500.00","7,411.65",-5.16%,-11.23%,4.80%,84.79%,79.64%,30.21,1.18%,35.97%,49.54%,118.9,"10,097.17","9,343.89",38.96,69.43%,80.00%
Apollo Tyres,APOLLOTYRE.NS,485.35,-0.59%,486.55,"4,32,097","31,008.80",24.93,36.57,557,370.9,1.28%,7.02%,-3.61%,78.27%,268.81%,2.09,1.03%,12.39%,9.99%,26.73,468.99,455.25,55.45,71.32%,80.00%
KIOCL,KIOCL.NS,482.6,-5.00%,495,"2,11,217","30,873.80",-,24.93,634.55,209.84,5.20%,65.22%,27.96%,160.58%,274.25%,17.13,-,-,-9.59%,-,429.48,327.67,52.07,-,-
AIA Engineering,AIAENG.NS,"3,232.90",-1.19%,"3,232.00","36,013","30,533.50",27.64,28.97,"4,275.00","3,001.10",3.99%,-3.48%,-20.64%,24.44%,86.21%,4.41,0.49%,18.53%,19.72%,119.04,"3,111.53","3,290.34",59.27,73.00%,80.00%
Garden Reach Shipbuilders,GRSE.NS,"2,605.60",-2.05%,"2,657.10","6,59,926","30,470.80",53.27,33.36,"3,538.40","1,184.90",4.58%,-2.38%,53.45%,448.43%,1208.36%,14.36,0.53%,16.14%,32.36%,32.11,"2,562.15","2,171.70",49.33,0.00%,70.00%
NBCC,NBCC.NS,113.29,0.56%,111.97,"77,18,254","30,418.20",47.83,33.36,130.7,70.8,5.23%,0.23%,0.06%,460.01%,643.86%,12.35,0.59%,13.09%,26.58%,3.11,107.22,100.9,58.1,69.79%,80.00%
Ajanta Pharma,AJANTPHARM.NS,"2,419.00",-0.62%,"2,429.80","85,837","30,411.80",32.48,34.07,"3,395.00","2,327.30",-5.12%,-8.59%,-25.75%,92.70%,131.82%,7.97,1.16%,22.88%,30.11%,67.81,"2,557.73","2,638.41",37.82,68.72%,80.00%
Indraprastha Gas,IGL.NS,216.32,0.06%,215,"12,20,571","30,265.20",18.2,33.36,270,153.05,0.70%,-0.44%,-16.48%,16.72%,18.38%,2.86,3.23%,20.67%,19.46%,27.78,209.85,203.2,56.92,73.97%,80.00%
Gujarat Gas,GUJGASLTD.NS,426.85,-0.65%,428,"4,14,381","29,576.70",25.66,33.36,602.9,360.25,-1.62%,-7.84%,-27.57%,-9.03%,50.19%,3.46,1.36%,21.75%,16.33%,17.68,431.25,447.28,43.92,70.67%,80.00%
Motherson Sumi Wiring,MSUMI.NS,45.04,1.30%,44,"35,62,805","29,484.40",50,47,50.54,30.72,-7.74%,6.60%,3.95%,8.40%,52.68%,17.57,0.52%,38.07%,43.19%,1.5,43.87,39.18,45.71,60.00%,75.00%
